,Legend,Variable,Importance
146,TST Importances,peep,-0.0006059893945677548
147,TST Importances,peep,-0.0006629640767027487
148,TST Importances,peep,-0.0007826535056131775
149,TST Importances,peep,-0.0007004039334863581
150,TST Importances,peep,-0.0006280182500543225
151,TST Importances,peep,-0.0007414813964175203
152,TST Importances,peep,-0.0007935121531472104
153,TST Importances,peep,-0.0007626127319811814
154,TST Importances,peep,-0.0004841507816723026
155,TabNet Importances,peep,-7.290776972417449e-05
156,TabNet Importances,peep,1.0466063665506022e-06
157,TabNet Importances,peep,1.076654476455474e-06
158,TabNet Importances,peep,1.8007467388212864e-06
159,TabNet Importances,peep,8.681189268812138e-07
160,TabNet Importances,peep,3.543100965809705e-06
161,TabNet Importances,peep,2.9144084918983907e-06
162,TabNet Importances,peep,-4.216679482679853e-08
163,TabNet Importances,peep,-0.00013893121698866265
164,TabNet Importances,peep,7.453599739039489e-07
165,TabNet Importances,peep,6.481025867954007e-06
166,TabNet Importances,peep,1.8091611706583125e-06
167,TabNet Importances,peep,8.02264912140183e-07
168,TabNet Importances,peep,-0.00013873639367756272
169,TabNet Importances,peep,1.0454920443836745e-06
170,TabNet Importances,peep,-4.2042549506622175e-07
171,TabNet Importances,peep,6.217874827140577e-06
172,TabNet Importances,peep,3.80922092621951e-06
173,TabNet Importances,peep,7.098476816219144e-07
174,TabNet Importances,peep,4.349911352212946e-08
175,TabNet Importances,peep,9.146611876823863e-06
176,TabNet Importances,peep,6.051301246171769e-06
177,TabNet Importances,peep,-2.9717512507403043e-07
178,TabNet Importances,peep,1.7978285467680652e-05
179,TabNet Importances,peep,7.973004078030303e-07
180,TabNet Importances,peep,-3.145225809169567e-08
181,TabNet Importances,peep,2.5076141682675417e-05
182,TabNet Importances,peep,6.849250137660455e-07
183,TabNet Importances,peep,2.008570392300358e-06
184,TabNet Importances,peep,1.0428297797549333e-06
185,TabNet Importances,peep,-0.00011994262564009553
186,TST Importances,Lymphocytes,-0.0006386850913199667
187,TST Importances,Lymphocytes,-0.00042691883938969597
188,TST Importances,Lymphocytes,-0.0005137473734623198
189,TST Importances,Lymphocytes,-0.0006065155718758327
190,TST Importances,Lymphocytes,-0.00038657998768782076
191,TST Importances,Lymphocytes,-0.0003787996166308466
192,TST Importances,Lymphocytes,-0.00044210233996736566
193,TST Importances,Lymphocytes,-0.0004494502534228116
194,TST Importances,Lymphocytes,-0.0005264196134604002
195,TST Importances,Lymphocytes,-0.00044184921493118837
196,TST Importances,Lymphocytes,-0.0004610849900933123
197,TST Importances,Lymphocytes,-0.0003622406164524775
198,TST Importances,Lymphocytes,-0.0005735103153661445
199,TST Importances,Lymphocytes,-0.0006061126475006342
200,TST Importances,Lymphocytes,-0.0003992796735973002
201,TST Importances,Lymphocytes,-0.0004519947881179676
202,TST Importances,Lymphocytes,-0.0005340945948007371
203,TST Importances,Lymphocytes,-0.0003860171006960154
204,TST Importances,Lymphocytes,-0.0004074112182874782
205,TST Importances,Lymphocytes,-0.00038329471408366227
206,TST Importances,Lymphocytes,-0.000688915362759199
207,TST Importances,Lymphocytes,-0.00035011890620397087
208,TST Importances,Lymphocytes,-0.0004472243448043327
209,TST Importances,Lymphocytes,-0.0006132384661994139
210,TST Importances,Lymphocytes,-0.00041325597736503527
211,TST Importances,Lymphocytes,-0.0005240255541960599
212,TST Importances,Lymphocytes,-0.0004194997814475351
213,TST Importances,Lymphocytes,-0.00047247798690685177
214,TST Importances,Lymphocytes,-0.00045833269691211064
215,TST Importances,Lymphocytes,-0.00039145396436660257
216,TST Importances,Lymphocytes,-0.0006533051910774849
217,TabNet Importances,Lymphocytes,-2.3092629451102408e-05
218,TabNet Importances,Lymphocytes,3.47863328663359e-07
219,TabNet Importances,Lymphocytes,8.247397617341553e-06
220,TabNet Importances,Lymphocytes,7.32049962466992e-07
221,TabNet Importances,Lymphocytes,-2.388659779046287e-06
222,TabNet Importances,Lymphocytes,-4.148915958258867e-06
223,TabNet Importances,Lymphocytes,-4.88853755132034e-06
224,TabNet Importances,Lymphocytes,-3.855268399748487e-08
225,TabNet Importances,Lymphocytes,-1.2645202809987659e-05
226,TabNet Importances,Lymphocytes,-8.167851077913628e-07
227,TabNet Importances,Lymphocytes,-1.3752792823084383e-05
228,TabNet Importances,Lymphocytes,5.99989536701693e-07
229,TabNet Importances,Lymphocytes,6.048141128104845e-08
230,TabNet Importances,Lymphocytes,1.0736284994475806e-07
231,TabNet Importances,Lymphocytes,-4.136010147987163e-06
232,TabNet Importances,Lymphocytes,-5.727543534533333e-08
233,TabNet Importances,Lymphocytes,-1.1979686551003987e-05
234,TabNet Importances,Lymphocytes,4.895992332452565e-07
235,TabNet Importances,Lymphocytes,-1.2356196688602656e-06
236,TabNet Importances,Lymphocytes,-2.3388631203635872e-08
237,TabNet Importances,Lymphocytes,5.0232399550120755e-05
238,TabNet Importances,Lymphocytes,5.74905452571874e-07
239,TabNet Importances,Lymphocytes,-2.7847665399355965e-08
240,TabNet Importances,Lymphocytes,1.6879189574292478e-05
241,TabNet Importances,Lymphocytes,2.4393370424450675e-06
242,TabNet Importances,Lymphocytes,2.7843361151649406e-08
243,TabNet Importances,Lymphocytes,-6.721588240449889e-05
